   963D0    4    0 ww
   963D4    5    0 ww
   963D8   20  7A0 ww
   963DC   24  100 ww
   963E0   28  150 ww
   963E6   4F    5 ww
   963FC   72    3 ww
   963FC   74 F580 ww
   3F586   48  7A0 ww
   3F58C   4A  150 ww
   3F5F6    A    4 ww
   3F5FC   5C   10 ww
    29B8   9B    0 ww
    293C   98   10 ww
    2942   89   1C ww
    2948   8B   3C ww
    2966   3A  110 ww
    296A   36  110 ww
    296E   38  110 ww
   3F61A   80    2 ww
   3F622   B4    C ww
   3F622   B6 5860 ww
   3F62A   30    5 ww
   3F62A   32 C806 ww
   3F632   8E    B ww
   3F632   90 5702 ww
   40964   A0   44 ww
   4096A   A2   88 ww
   3F65C    A   14 ww
   3F662   9C    1 ww
   AEB32   60   21 ww
   AEB24   60 8021 ww
   3F6E2    C    4 ww
   5C490   86 1304 ww
    1186   11    0 ww
    11B6   10    0 ww
    11C0   16    C ww
    11C0   18 58AE ww
    11C8   12    C ww
    11C8   14 6564 ww
    11CC   1C    0 ww
    11D0   1A    0 ww
    11D4   3C    0 ww
    11D8   3E   54 ww
   3F6B2   50   20 ww
   3F6FC    C    8 ww
   3F700   44    0 ww
   3F706   46 FFA0 ww
   3F70A   40    0 ww
   3F70A   42    0 ww
   3E6DA   44 FFA0 ww
   3E6E2   24   FF ww
   3E6E2   26 A000 ww
    1C18   40    0 ww
    1C20   20  7A0 ww
    1C20   22    0 ww
     FC6    1    0 ww
   3E6DA   44 FF40 ww
   3E6E2   24   FE ww
   3E6E2   26 E000 ww
   3E6DA   44 FEE0 ww
   3E6E2   24   FD ww
   3E6E2   26 C000 ww
   3E6DA   44 FE80 ww
   3E6E2   24   FC ww
   3E6E2   26 4000 ww
   3E6DA   44 FE20 ww
   3E6E2   24   FA ww
   3E6E2   26 6000 ww
   3E6DA   44 FDC0 ww
   3E6E2   24   F8 ww
   3E6E2   26 2000 ww
   3E6DA   44 FD60 ww
   3E6E2   24   F5 ww
   3E6E2   26 8000 ww
   3E6DA   44 FD00 ww
   3E6E2   24   F2 ww
   3E6DA   44 FCA0 ww
   3E6E2   24   EF ww
   3E6DA   44 FC40 ww
   3E6E2   24   EB ww
