       4       18    963D0
       5        0    963D4
      20      754    963D8
      24     FFFC    963DC
      28      520    963E0
      4F        5    963E6
      72        4    963FC
      74     82F6    963FC
      48      754    482FC
      4A      520    48302
      B4     BFA8    48386
      B6     BEE8    48386
      B8     BBE8    48386
      BA     BB28    48386
      BC     BA68    48386
      BE     B9A8    48386
      98       10     293C
      89       18     2942
      8B       24     2948
      3A      1A0     2966
      36      1A0     296A
      38      1A0     296E
      60       33    AEB32
      60     8033    AEB24
      9B        0     29B8
       8        4    48410
       A        0    48410
       C       20    48418
       E        0    48418
      2C       10    48420
      2E     7C3C    48420
      30        4    48428
      32     B722    48428
      8E        4    48430
      90     B782    48430
      AF        3    48436
      5C       18    4843C
      9C        1    48442
      B8      1A0    48448
      6C     8E68     286A
      B0       20    484FC
      B2        0    484FC
       1        0    4B5BC
      20      466     1050
      9E        0    ABD66
      7E        0    ABD72
      6B        0    ABD80
      4E        0    ABD8C
      4F        0    ABDEE
      50     FFFC    ABDF4
      24       28    6F1AE
      48      466    482FC
      24     FFFC    6F2C0
      24       28    6F2C6
       E        2    4A55C
      40     FD00    4A568
      42        0    4A56E
      A0       1E    4A574
      11        0     1186
      10        0     11B6
      16       13     11C0
      18      1B4     11C0
      12       13     11C8
      14      8C4     11C8
      1C        0     11CC
      1A       14     11D0
      3C        0     11D4
      3E        C     11D8
      B2        2    484FC
      A0       1D    4A58C
      40     FD00     1C18
      20      463     1C20
      22        0     1C20
      48      463    482FC
      A0       1C    4A58C
      20      460     1C20
      48      460    482FC
      A0       1B    4A58C
      20      45D     1C20
      24     FFFD    6F2C0
      24       29    6F2C6
      48      45D    482FC
      A0       1A    4A58C
      20      45A     1C20
      48      45A    482FC
      A0       19    4A58C
      20      457     1C20
       1        1    4B5B4
      76        0    15B78
      77        0    15B7C
      48      457    482FC
      A0       18    4A58C
      20      454     1C20
      48      454    482FC
      A0       17    4A58C
      20      451     1C20
      48      451    482FC
      A0       16    4A58C
      20      44E     1C20
      48      44E    482FC
      A0       15    4A58C
      20      44B     1C20
      48      44B    482FC
      A0       14    4A58C
      20      448     1C20
      48      448    482FC
      A0       13    4A58C
      20      445     1C20
      48      445    482FC
      A0       12    4A58C
      20      442     1C20
      48      442    482FC
      A0       11    4A58C
      20      43F     1C20
      48      43F    482FC
      A0       10    4A58C
      20      43C     1C20
      48      43C    482FC
      A0        F    4A58C
      20      439     1C20
      48      439    482FC
      A0        E    4A58C
      20      436     1C20
      48      436    482FC
      A0        D    4A58C
      20      433     1C20
      48      433    482FC
      A0        C    4A58C
      20      430     1C20
      48      430    482FC
      A0        B    4A58C
      20      42D     1C20
      48      42D    482FC
      A0        A    4A58C
      20      42A     1C20
      48      42A    482FC
      A0        9    4A58C
      20      427     1C20
      48      427    482FC
      A0        8    4A58C
      20      424     1C20
      48      424    482FC
      A0        7    4A58C
      20      421     1C20
      48      421    482FC
      A0        6    4A58C
      20      41E     1C20
      48      41E    482FC
      A0        5    4A58C
      20      41B     1C20
      48      41B    482FC
      A0        4    4A58C
      20      418     1C20
      48      418    482FC
      A0        3    4A58C
      20      415     1C20
      48      415    482FC
      A0        2    4A58C
      20      412     1C20
      48      412    482FC
      A0        1    4A58C
      20      40F     1C20
      48      40F    482FC
      A0        0    4A58C
       E        4    4A59A
      B2        4    484FC
      24     FFFC    6F304
      24       28    6F30A
       E        6    4A5B4
      52       AE     1D86
      34       1E    4A5BE
      5E        0    4A5C4
      1E        0    4A5CA
      A0       14    4A5D0
      40     F900    4A5D6
      42        0    4A5DC
      3C       48    4A5E8
      1A       18    4A5EE
      1C        3    4A5F4
      A0       13    4A5F8
      40     F900     1C18
      20      408     1C20
      B2        6    484FC
      48      408    482FC
      A0       12    4A5F8
      20      401     1C20
      48      401    482FC
      A0       11    4A5F8
      20      3FA     1C20
      48      3FA    482FC
      A0       10    4A5F8
      20      3F3     1C20
      48      3F3    482FC
      A0        F    4A5F8
      20      3EC     1C20
      5E     BD68    94FCA
      1E        A    94FD0
      48      3EC    482FC
      A0        E    4A5F8
      20      3E5     1C20
      48      3E5    482FC
      A0        D    4A5F8
      20      3DE     1C20
      5E     BCA8    94FCA
      48      3DE    482FC
      A0        C    4A5F8
      20      3D7     1C20
      48      3D7    482FC
      A0        B    4A5F8
      20      3D0     1C20
      5E     BE28    94FCA
      48      3D0    482FC
      A0        A    4A5F8
      20      3C9     1C20
      48      3C9    482FC
      A0        9    4A5F8
      20      3C2     1C20
      48      3C2    482FC
      A0        8    4A5F8
      20      3BB     1C20
      48      3BB    482FC
      A0        7    4A5F8
      20      3B4     1C20
      48      3B4    482FC
      A0        6    4A5F8
      20      3AD     1C20
      48      3AD    482FC
      A0        5    4A5F8
      20      3A6     1C20
      48      3A6    482FC
      A0        4    4A5F8
      20      39F     1C20
      48      39F    482FC
      A0        3    4A5F8
      20      398     1C20
      48      398    482FC
      A0        2    4A5F8
      20      391     1C20
      48      391    482FC
      A0        1    4A5F8
      20      38A     1C20
      48      38A    482FC
      A0        0    4A5F8
       E        8    4A600
      A0       14    4A606
