       4       18    963D0
       5        0    963D4
      20      5E0    963D8
      24        0    963DC
      28      E88    963E0
      4F        5    963E6
      72        4    963FC
      74      AAE    963FC
      48      5E0    40AB4
      4A      E88    40ABA
      5C        D    40B1A
      9B        9     29C2
      98       10     293C
      89       14     2942
      8B       1A     2948
      3A      220     2966
      36      220     296A
      38      220     296E
      60       43    AEB32
      60     8043    AEB24
      9C        1    40B3A
      80        2    40B40
      30        4    40B48
      32     20E0    40B48
      8E        B    40B50
      90     573A    40B50
       A        4    40B64
      86      23C    41C36
      11        0     1186
      10        1     1190
      16        C     1194
      18     BA9A     1194
      12        C     119C
      14     CA22     119C
      1C        0     11A0
      1A        0     11A4
      3C        0     11A8
      3E        C     11AC
       1        1      FBE
      76        0    15B78
      77        0    15B7C
       A        8    40B78
      10        0     1178
      10        E     1190
      18     BA9E     1194
      14     CA58     119C
      10        D     1178
      10        C     1178
      10        B     1178
      10        A     1178
      10        9     1178
      10        8     1178
      10        7     1178
      10        6     1178
      10        5     1178
      10        4     1178
      10        3     1178
      10        2     1178
      10        1     1178
      18     BAA2     1194
      14     CA8E     119C
      10        E     11B6
      16        C     11C0
      18     BA9A     11C0
      12        C     11C8
      14     CAC4     11C8
      1C        0     11CC
      1A        0     11D0
      3C        0     11D4
      3E        C     11D8
      10       10     1190
      18     BB42     1194
      14     CB8C     119C
       A        C    40BA2
      10        F     1178
      10        E     1178
      11        1     1186
      18     BB46     1194
      14     CBC2     119C
      10        B     1190
      18     BB4A     1194
      11       FF     1186
      10        1     11B6
      18     BB3E     11C0
      14     CBC2     11C8
       8        4    40BCA
       A        0    40BCE
      6C     8E68     286A
      5E     8E68    40BDA
      9E        0    ABD66
      7E        0    ABD72
      6B        0    ABD80
      4E        0    ABD8C
      4F        0    ABDEE
      50        0    ABDF4
      A2        0    40C5E
      A6        0    40C64
      A4        0    40CD0
      A8     FFFF    40D58
      24        0    5C624
      26        0    5C628
      AC        0    40D66
      AE        0    40D66
      5E        0    40D6A
       C        4    41CD2
       E        0    41CD6
       1        1    420A4
      A4        4    40CD0
       E        4    40DD8
      A8     5695    40DDE
      10        0     11B6
      18     BA28     11C0
      14     C04A     11C8
      BE        A    40DEA
       7        0    3E7E2
      BE        9    40DF4
      BE        8    40DF4
      BE        7    40DF4
      BE        6    40DF4
      BE        5    40DF4
      BE        4    40DF4
      BE        3    40DF4
      BE        2    40DF4
      BE        1    40DF4
      BE        0    40DF4
      A1        0    40DFC
       E        8    40E00
      BE       3C    41DE0
      BE       3B    40E40
      BE       3A    40E40
      BE       39    40E40
      BE       38    40E40
      BE       37    40E40
      BE       36    40E40
      BE       35    40E40
      BE       34    40E40
      BE       33    40E40
      BE       32    40E40
      BE       31    40E40
      BE       30    40E40
      BE       2F    40E40
      BE       2E    40E40
      BE       2D    40E40
      BE       2C    40E40
      BE       2B    40E40
      BE       2A    40E40
      BE       29    40E40
