https://github.com/zengfr/romhack

卷轴数据表

13 80:卷轴
00 00:24(a0)声音
84   :29(a0)坐标Z
09   :201428/201429比较 1V3 、内存分配相关、 类型相关
85   :0a(a0)出场动作查表ID
00   :200C17比较
09   :60(a0)62(a0)血值查表
0A   :03(a0)ID

11 00 FF E8 F2 10 00 00 00 1B 
13 40 00 00 A0 08 00 00 09 2B 
13 80 00 00 84 09 85 00 09 0A
14 00 00 00 B0 08 00 00 07 0A 
14 C0 00 00 84 08 85 00 09 0A
15 40 00 00 88 09 00 00 06 02 
15 A4 00 00 81 04 1C 00 00 01  
15 C0 00 00 B0 08 00 00 06 04 
16 40 00 00 B4 09 84 00 0A 2B 
16 C0 00 00 B8 08 03 00 09 02 
17 40 00 00 84 0A 09 00 09 0A
17 40 00 00 00 14 02 00 00 10 
17 C0 00 00 B0 0A 84 00 0A 2B 
17 E0 00 00 BC 10 02 00 00 43 
18 40 00 00 84 08 00 00 09 02  
18 40 00 00 B8 08 03 00 07 0A 
19 00 00 00 C0 0C 4F 00 00 06 
19 48 00 00 C0 0C 4E 00 00 06 
19 FC 00 00 C0 08 02 00 06 02
1A 40 00 00 C0 08 04 00 07 0A 
1B 00 00 00 84 09 00 00 06 02 
1B 00 00 38 F0 88 05 00 09 04 
1C 00 00 14 F6 90 00 00 00 5B  
1C 10 00 00 C0 08 0A 00 06 02 
1C 80 00 00 C0 0D A9 00 00 06 
1C 80 00 00 00 14 01 00 00 11 
1C B0 00 00 D8 89 06 00 09 02
1C C0 00 00 89 0C 4D 00 00 06 
1C E0 00 00 A8 09 00 00 0A 0A 
1D 08 00 00 89 0C BB 00 00 06 
1D 40 00 00 E0 08 06 00 09 02  
1D 80 00 00 00 14 11 00 00 0B 
FF FF FF FF FF FF FF FF FF FF 
FF FF FF FF FF FF FF FF FF FF 
12 E0 00 00 88 08 07 00 0D 0D
13 10 00 00 84 88 09 00 0A 1E 
13 10 00 00 84 08 00 00 0B 23 
14 40 00 00 A0 89 01 00 0C 06 
14 40 00 00 00 14 02 00 00 10  
14 C0 00 00 84 08 85 00 09 0A 
15 40 00 00 88 09 00 00 09 23 

