"%02x %04x %04x %06x %04x %06x\r\n",maincpu.pw@(a0+20),maincpu.pw@(a0+28),maincpu.pw@(a0+2a),a6,d1&ffff,a4;
-------------------------------------------
00:关羽
06:李典
08:许褚
0E:张辽
F:曹仁
10:赵氏
14:肥肥
15:徐晃
16:晏明
--------
关羽下a替换方法 maincpu.md@1aef6=指针2下一张数值-a:
maincpu.md@1aef6=94806
maincpu.md@1aef6=94a44
-------------------------------------------
人id 状态1 状态2 指针1当前 帧数 指针2下一张
-------------------------------------------
00 0200 0000 071542 0001 070808
00 0200 0602 071C2E FFFF 070F9E
00 0200 0000 07207A FFFF 070EE2
00 0200 1001 071F0C 0002 070D5C
00 0200 10FF 0715AA 0004 070C26
00 0200 10FF 07156E 8006 070C30
00 0200 10FF 071542 0001 070808
00 0200 0000 070474 7FFF 06F9F0
00 0200 0000 071042 0004 070812
00 0200 0000 07107E 0004 07081C
00 0200 0000 0710BA 0004 070826
00 0200 0000 0710EE 0004 070830
00 0200 0A00 071542 0004 070AAA
00 0200 0A00 0712CC 000C 070AB4
00 0200 0A00 07144A 0006 070ABE
00 0200 0A00 07149A 8001 070AC8
0A 0004 0200 08A576 000C 089DC6
09 0004 0200 0874EA 800A 0870C0
0A 0004 0200 08A176 800A 089DD0
09 0004 0200 0874EA 0001 086F86
09 0200 0600 0874EA 0001 086F86
09 0200 0C02 0874EA 0001 086F86
09 0200 0C04 087520 0006 086F90
0A 0004 0200 08A176 0001 089CC2
09 0200 0C06 08756E 0006 086F9A
0A 0200 0600 08A176 0001 089CC2
0A 0200 0604 08A368 0008 089EC4
09 0200 0C06 0875C4 0006 086FA4
0A 0200 0802 08A176 0001 089CC2
00 0200 0000 07112A 0004 07083A
09 0200 0C06 087612 0006 086FAE
00 0200 0000 071176 0004 070844
09 0200 0802 0874EA 0028 08705A
00 0200 0802 071A7A 0004 070A3A
00 0200 0802 071AA8 0003 070A44
00 0200 0802 071ACE 8002 070A4E
00 0200 0802 071542 0001 070808
09 0200 0802 087F40 0020 087064
00 0200 0C00 07156E 0002 07098E
00 0200 0C00 0715AA 000C 070998
00 0200 0C02 07162C 0008 0709C8
00 0200 0C06 071658 FFFF 0709D2
09 0200 0802 0874EA 0028 08706E
00 0200 0C04 07156E 8008 0709BA
0A 0200 0606 08A368 8010 089F3C
09 0200 0802 088170 8020 087078
00 0200 0000 0711B2 0004 07084E
0A 0200 0C02 08A176 0001 089CC2
00 0200 0000 0711EE 8004 070858
09 0200 0200 0874EA 0001 086F86
0A 0200 0606 08A176 0001 089CC2
0A 0200 0C04 08A176 0004 089D4C
0A 0200 0402 08A176 0001 089CC2
0A 0200 0C06 08AC22 0006 089D56
09 0200 0C04 0874EA 0004 087010
0A 0200 0C06 08AC68 0006 089D60
09 0200 0C04 087F40 0006 08701A
0A 0200 0604 08A368 0008 089E7A
0A 0200 040A 08A1C4 0006 089CCC
09 0200 0C04 087F8E 0006 087024
0A 0202 0002 08A734 0001 089CB8
0A 0200 040A 08A218 0006 089CD6
09 0200 0C04 087FDC 0006 08702E
00 0200 0802 071B3A 0004 070A5C
0A 0200 040A 08A26C 0006 089CE0
09 0200 0C04 08802A 0006 087038
00 0200 0802 071B84 0003 070A66
0A 0200 040A 08A2C0 0006 089CEA
09 0200 0C04 088078 0006 087042
0A 0200 040A 08A314 0006 089CF4
09 0200 0C04 0880CE 8006 08704C
00 0200 0802 071BC2 8002 070A70
00 0200 0802 0714D0 0006 070A7E
0A 0200 040A 08A176 8006 089CFE
00 0200 0802 07150E 0001 070A88
00 0200 0802 07150E 0003 070A92
09 0200 0402 0874EA 0001 086F86
00 0200 0802 0716E6 8008 070A9C
09 0200 0406 087520 0006 086F90
0A 0202 0002 08A7BA 8001 089CAA
0A 0202 0200 08A868 0001 089DEA
09 0200 0406 08756E 0006 086F9A
09 0200 0406 0875C4 0006 086FA4
09 0200 0406 087612 0006 086FAE
09 0200 0406 087660 0006 086FB8
09 0200 0406 0874EA 8006 086FC2
09 0200 0604 0876AE 0008 08716A
0A 0202 0204 08A8C8 0001 089DF4
0A 0200 0406 08A1C4 0006 089CCC
0A 0200 0406 08A218 0006 089CD6
0A 0202 0204 08A946 003C 089DFE
09 0200 0606 0876AE 8010 0871A6
0A 0202 0402 08A8C8 0009 089E08
09 0200 0606 0874EA 0001 086F86
0A 0202 0402 08A576 8010 089E12
0A 0202 0402 08A176 0001 089CC2
09 0200 0600 087520 0006 086F90
09 0200 0600 08756E 0006 086F9A
09 0200 0600 0875C4 0006 086FA4
09 0200 0600 087612 0006 086FAE
09 0200 0600 087660 0006 086FB8
09 0200 0604 0874EA 0004 0873EC
09 0202 0002 087ADA 8001 086F6E
00 0204 0202 07186C 0003 070888
0A 0200 0406 08A26C 0006 089CE0
0A 0200 0406 08A2C0 0006 089CEA
0A 0200 0406 08A314 0006 089CF4
09 0202 0202 087B7E 0001 0870DA
0A 0200 0406 08A176 8006 089CFE
09 0202 0204 087BD4 0001 0870E4
0A 0200 0408 08A176 8006 089CFE
0A 0200 0604 08A1C4 0006 089D0C
0A 0204 0200 08A6CA 8018 08A04A
0A 0200 0408 08A1C4 0006 089CCC
0A 0200 0408 08A218 0006 089CD6
0A 0200 0408 08A26C 0006 089CE0
0A 0200 0408 08A2C0 0006 089CEA
09 0202 0204 087C30 003C 0870EE
0A 0200 0408 08A314 0006 089CF4
09 0202 0402 087BD4 0009 0870F8
09 0202 0402 087868 8010 087102
00 0208 0400 07156E 8008 0709BA
09 0202 0402 0874EA 0001 086F86
0A 0208 0200 08A5C6 FFFF 08A168
09 0200 040A 087520 0006 086F90
09 0200 040A 08756E 0006 086F9A
09 0200 040A 0875C4 0006 086FA4
09 0200 040A 087612 0006 086FAE
09 0200 040A 087660 0006 086FB8
0A 0208 0400 08A576 8018 08A15A
09 0200 040A 0874EA 8006 086FC2
0A 0208 0400 08A176 0001 089CC2
00 0200 0C04 071542 0001 070808
0A 0200 0604 08A176 0004 08A0E8
0A 0200 0604 08A576 0004 08A0F2
0A 0200 0604 08A5C6 000A 08A0FC
09 0202 0002 087A54 0001 086F7C
09 0202 0200 087B7E 0001 0870DA
0A 0200 0606 08A576 8018 08A15A
09 0200 0604 0876AE 0008 08723A
0A 0202 0202 08A868 0001 089DEA
09 0200 0606 0876AE 8010 0872BC
00 0200 0400 071426 8010 07095E
00 0200 0400 071542 0001 070808
00 0401 0000 0704B6 0002 06FC0E
0A 0002 0000 08AE28 8008 089DAE
0A 0200 0600 08A314 0006 089CF4
0A 0002 0000 08A576 000C 089DC6
09 0002 0000 08811C 0008 0870AC
0A 0200 0604 08A218 0006 089D16
0A 0200 0E02 08A176 0005 08A128
0A 0200 0E04 08A576 0005 08A132
0A 0200 0E04 08A5C6 000C 08A13C
0A 0200 0E06 08A614 0004 08A146
0A 0200 0E06 08A5C6 0001 08A150
09 0004 0200 087868 000C 0870B6
0A 0200 0E0A 08A576 8018 08A15A
0A 0202 0204 08A868 0001 089DEA
20 0200 0400 08A1C4 0006 089CCC
20 0200 0400 08A218 0006 089CD6
20 0200 0400 08A26C 0006 089CE0
0A 0200 0A04 08A176 0001 089CC2
20 0200 0400 08A2C0 0006 089CEA
0A 0202 0400 08A946 003C 089DFE
20 0200 0400 08A314 0006 089CF4
20 0200 0400 08A176 8006 089CFE
20 0200 0800 08A176 0001 089CC2
09 0200 0200 087520 0006 086F90
00 0204 0002 07186C 0001 070866
00 0200 0E00 07156E 0008 070AD6
09 0208 0400 087868 8014 08745E
00 0200 0E00 072808 0001 070AE0
0A 0200 0200 08A26C 0006 089CE0
00 0200 0E02 072808 0005 070AEA
00 0200 0E02 0716A8 000C 070AF4
0A 0200 0C06 08ACBC 0006 089D6A
0A 0200 0C06 08AD10 0006 089D74
00 0200 0E02 072808 0009 070AFE
0A 0200 0C06 08AD64 0006 089D7E
0A 0200 0200 08ADB6 8006 089D88
00 0200 0E04 072834 FFFF 070B08
00 0200 0C06 0715F8 FFFF 0708EA
0A 0200 0608 08A368 0006 08A058
00 0202 0002 0712CC 8001 0707F0
00 0202 0200 071352 0001 070914
00 0202 0204 071380 0001 07091E
00 0202 0204 0713DC 0014 070928
00 0202 04FF 0713FA 000A 070932
00 0202 04FF 0713DC 000A 07093C
00 0202 04FF 0713FA 000A 070946
00 0202 04FF 071426 8008 070950
00 0202 04FF 071542 0001 070808
0A 0200 0200 08A2C0 0006 089CEA
09 0200 0408 087612 0006 086FAE
09 0200 0408 087660 0006 086FB8
09 0200 0408 0874EA 8006 086FC2
09 0200 0408 087520 0006 086F90
09 0200 0408 08756E 0006 086F9A
09 0200 0408 0875C4 0006 086FA4
09 0200 0E02 0874EA 0004 08742C
00 0202 0002 07122E 0001 0707FE
0A 0200 0606 08A368 8010 089EB6
20 0200 0604 08A368 0008 089E7A
0A 0200 0C04 08A1C4 0006 089CCC
20 0202 0002 08A7BA 8001 089CAA
0A 0200 0C04 08A218 0006 089CD6
0A 0200 0C04 08A26C 0006 089CE0
20 0202 0002 08A734 0001 089CB8
0A 0200 0C04 08A2C0 0006 089CEA
0A 0200 0C04 08A314 0006 089CF4
20 0202 0204 08A868 0001 089DEA
0A 0200 0C04 08A176 8006 089CFE
0A 0200 0600 08A1C4 0006 089CCC
0A 0200 0600 08A218 0006 089CD6
20 0202 0204 08A8C8 0001 089DF4
0A 0200 0600 08A26C 0006 089CE0
0A 0200 0600 08A2C0 0006 089CEA
20 0202 0400 08A946 003C 089DFE
0A 0200 0600 08A176 8006 089CFE
20 0202 0402 08A8C8 0009 089E08
20 0202 0402 08A576 8010 089E12
00 0200 0C02 0715F8 000C 0709A2
20 0202 0402 08A176 0001 089CC2
00 0200 0C02 0715AA FFFF 0709AC
0A 0200 0604 08A176 0006 089F0A
0A 0200 0E0A 08A176 0001 089CC2
0B 0002 0000 0891CC 000C 088B36
0B 0004 0200 088E66 800A 088B40
0B 0004 0200 088E66 0001 088A9A
0B 0200 0402 088E66 0001 088A9A
0B 0200 0406 088EA4 0006 088AA4
0B 0200 0600 088EF2 0006 088AAE
0B 0202 0002 0892F6 0001 088A90
09 0002 0000 087868 000C 0870B6
24 0200 0400 087520 0006 086F90
0B 0202 0200 089400 0001 088B5A
24 0200 0400 08756E 0006 086F9A
24 0200 0400 0875C4 0006 086FA4
24 0200 0800 0874EA 0001 086F86
0B 0202 0204 089460 0001 088B64
0B 0202 0204 0894DE 003C 088B6E
0B 0202 0402 089460 0009 088B78
0B 0202 0402 0891CC 8010 088B82
0B 0202 0402 088E66 0001 088A9A
0B 0200 0600 088E66 0001 088A9A
0B 0200 0604 089032 0008 088CE6
0B 0202 0002 08937C 8001 088A82
0B 0202 0202 089400 0001 088B5A
0B 0200 0802 088E66 0001 088A9A
0B 0200 0608 089032 000A 088C74
24 0200 0400 087612 0006 086FAE
24 0200 0400 087660 0006 086FB8
24 0200 0400 0874EA 8006 086FC2
0B 0200 0E02 088E66 0003 088E18
0B 0200 0E04 0891CC 0003 088E22
0B 0200 0E04 08921C 0008 088E2C
0B 0200 0E06 089268 0004 088E36
0B 0200 0E06 08921C 0001 088E40
0B 0200 0E0A 0891CC 8010 088E4A
0B 0200 0E0A 088E66 0001 088A9A
0B 0200 0A04 088E66 0001 088A9A
0B 0200 0A04 088E66 0004 088DD8
0B 0202 0204 089400 0001 088B5A
0B 0202 0400 0894DE 003C 088B6E
24 0202 0002 087A54 0001 086F7C
0B 0200 0600 088EA4 0006 088AA4
0B 0200 0600 088F48 0006 088AB8
0B 0200 0600 088F96 0006 088AC2
0B 0200 0600 088FE4 0006 088ACC
0B 0200 0600 088E66 8006 088AD6
20 0200 0604 08A176 0004 08A0E8
20 0200 0604 08A576 0004 08A0F2
0B 0200 0604 089032 0008 088C60
20 0200 0604 08A5C6 000A 08A0FC
20 0200 0604 08A614 0015 08A106
0B 0200 0604 088E66 0008 088C7E
20 0200 0604 08A662 000C 08A110
20 0200 0604 08A5C6 8001 08A11A
20 0200 0606 08A576 8018 08A15A
0B 0200 040A 088EA4 0006 088AA4
0B 0200 0804 08973A 0006 088BD6
0B 0200 0804 089800 000C 088BE0
20 0200 0606 08A176 0001 089CC2
